Species,Date,Buoyant,Blotted,Lyophilised,BB,LB
Laminaria digitata,01.11.21,NA,2.4,0.367,NA,0.152916667
Laminaria digitata,01.11.21,NA,2.253,0.33,NA,0.146471372
Laminaria digitata,01.11.21,NA,2.161,0.439,NA,0.203146691
Laminaria digitata,01.11.21,NA,2.398,0.445,NA,0.185571309
Laminaria digitata,01.11.21,NA,2.158,0.349,NA,0.161723818
Laminaria digitata,01.11.21,NA,2.34,0.353,NA,0.150854701
Laminaria digitata,01.11.21,NA,2.278,0.348,NA,0.152765584
Laminaria digitata,01.11.21,NA,2.295,0.482,NA,0.210021786
Laminaria digitata,01.11.21,NA,2.265,0.402,NA,0.177483444
Laminaria hyperborea,01.11.21,NA,2.827,1.045,NA,0.369649805
Laminaria hyperborea,01.11.21,NA,2.887,1.059,NA,0.366816765
Laminaria hyperborea,01.11.21,NA,2.822,0.994,NA,0.352232459
Laminaria hyperborea,01.11.21,NA,2.339,0.857,NA,0.366395896
Laminaria hyperborea,01.11.21,NA,2.29,0.896,NA,0.391266376
Laminaria hyperborea,01.11.21,NA,2.596,1.017,NA,0.391756549
Laminaria hyperborea,01.11.21,NA,2.942,1.06,NA,0.360299116
Laminaria hyperborea,01.11.21,NA,2.892,0.99,NA,0.342323651
Laminaria hyperborea,01.11.21,NA,2.165,0.848,NA,0.391685912
Laminaria hyperborea,01.11.21,NA,2.883,1.069,NA,0.370794311
Saccharina latissima,01.11.21,NA,1.298,0.178,NA,0.137134052
Saccharina latissima,01.11.21,NA,1.53,0.198,NA,0.129411765
Saccharina latissima,01.11.21,NA,1.854,0.253,NA,0.136461704
Saccharina latissima,01.11.21,NA,1.413,0.195,NA,0.138004246
Saccharina latissima,01.11.21,NA,1.532,0.204,NA,0.133159269
Saccharina latissima,01.11.21,NA,1.272,0.177,NA,0.139150943
Saccharina latissima,01.11.21,NA,1.388,0.178,NA,0.128242075
Saccharina latissima,01.11.21,NA,1.864,0.266,NA,0.142703863
Saccharina latissima,01.11.21,NA,1.452,0.203,NA,0.139807163
Saccharina latissima,01.11.21,NA,1.894,0.262,NA,0.138331573
Saccorhiza polyschides,01.11.21,NA,4.515,0.399,NA,0.088372093
Saccorhiza polyschides,01.11.21,NA,2.839,0.295,NA,0.103909827
Saccorhiza polyschides,01.11.21,NA,2.699,0.269,NA,0.099666543
Saccorhiza polyschides,01.11.21,NA,2.85,0.29,NA,0.101754386
Saccorhiza polyschides,01.11.21,NA,1.93,0.195,NA,0.101036269
Saccorhiza polyschides,01.11.21,NA,5.719,0.489,NA,0.085504459
Saccorhiza polyschides,01.11.21,NA,3.263,0.338,NA,0.103585657
Saccorhiza polyschides,01.11.21,NA,3.048,0.316,NA,0.103674541
Saccorhiza polyschides,01.11.21,NA,2.788,0.292,NA,0.104734577
Saccorhiza polyschides,01.11.21,NA,2.861,0.306,NA,0.10695561
Laminaria digitata,10.11.21,NA,1.977,0.278,NA,0.140617097
Laminaria digitata,10.11.21,NA,1.96,0.265,NA,0.135204082
Laminaria digitata,10.11.21,NA,2.017,0.27,NA,0.133862172
Laminaria digitata,10.11.21,NA,2.158,0.29,NA,0.134383689
Laminaria digitata,10.11.21,NA,2.177,0.291,NA,0.133670188
Laminaria digitata,10.11.21,NA,2.149,0.332,NA,0.154490461
Laminaria digitata,10.11.21,NA,2.362,0.327,NA,0.138441998
Laminaria digitata,10.11.21,NA,2.096,0.29,NA,0.138358779
Laminaria digitata,10.11.21,NA,2.145,0.29,NA,0.135198135
Laminaria digitata,10.11.21,NA,1.983,0.293,NA,0.147755925
Laminaria hyperborea,10.11.21,NA,3.074,0.519,NA,0.168835394
Laminaria hyperborea,10.11.21,NA,3.085,0.566,NA,0.183468395
Laminaria hyperborea,10.11.21,NA,2.902,0.495,NA,0.170572019
Laminaria hyperborea,10.11.21,NA,2.737,0.458,NA,0.1673365
Laminaria hyperborea,10.11.21,NA,2.873,0.536,NA,0.186564567
Laminaria hyperborea,10.11.21,NA,3.12,0.563,NA,0.180448718
Laminaria hyperborea,10.11.21,NA,2.823,0.504,NA,0.178533475
Laminaria hyperborea,10.11.21,NA,2.818,0.46,NA,0.163236338
Laminaria hyperborea,10.11.21,NA,3.179,0.664,NA,0.208870714
Laminaria hyperborea,10.11.21,NA,2.951,0.506,NA,0.171467299
Saccharina latissima,10.11.21,NA,2.2,0.254,NA,0.115454545
Saccharina latissima,10.11.21,NA,2.999,0.496,NA,0.165388463
Saccharina latissima,10.11.21,NA,2.933,0.477,NA,0.162632117
Saccharina latissima,10.11.21,NA,3.089,0.529,NA,0.171252833
Saccharina latissima,10.11.21,NA,2.343,0.24,NA,0.102432778
Saccharina latissima,10.11.21,NA,3.499,0.605,NA,0.172906545
Saccharina latissima,10.11.21,NA,3.049,0.552,NA,0.181042965
Saccharina latissima,10.11.21,NA,3.197,0.468,NA,0.146387238
Saccharina latissima,10.11.21,NA,2.674,0.367,NA,0.137247569
Saccharina latissima,10.11.21,NA,2.992,0.458,NA,0.153074866
Saccorhiza polyschides,10.11.21,NA,2.475,0.25,NA,0.101010101
Saccorhiza polyschides,10.11.21,NA,2.089,0.21,NA,0.100526568
Saccorhiza polyschides,10.11.21,NA,2.192,0.237,NA,0.108120438
Saccorhiza polyschides,10.11.21,NA,2.073,0.206,NA,0.09937289
Saccorhiza polyschides,10.11.21,NA,1.716,0.177,NA,0.103146853
Saccorhiza polyschides,10.11.21,NA,1.912,0.213,NA,0.111401674
Saccorhiza polyschides,10.11.21,NA,2.314,0.24,NA,0.103716508
Saccorhiza polyschides,10.11.21,NA,2.011,0.203,NA,0.100944804
Saccorhiza polyschides,10.11.21,NA,1.565,0.157,NA,0.100319489
Saccorhiza polyschides,10.11.21,NA,1.819,0.186,NA,0.102253986
Laminaria digitata,22.11.21,NA,0.049,0.0091,NA,0.185714286
Laminaria digitata,22.11.21,NA,0.048,0.0082,NA,0.170833333
Laminaria digitata,22.11.21,NA,0.046,0.0076,NA,0.165217391
Laminaria digitata,22.11.21,NA,0.05,0.0086,NA,0.172
Laminaria digitata,22.11.21,NA,0.049,0.0087,NA,0.17755102
Laminaria digitata,22.11.21,NA,0.043,0.008,NA,0.186046512
Laminaria digitata,22.11.21,NA,0.051,0.0089,NA,0.174509804
Laminaria digitata,22.11.21,NA,0.049,0.0081,NA,0.165306122
Laminaria digitata,22.11.21,NA,0.05,0.0082,NA,0.164
Laminaria digitata,22.11.21,NA,0.053,0.0088,NA,0.166037736
Laminaria hyperborea,22.11.21,NA,0.061,0.0165,NA,0.270491803
Laminaria hyperborea,22.11.21,NA,0.049,0.0134,NA,0.273469388
Laminaria hyperborea,22.11.21,NA,0.067,0.0183,NA,0.273134328
Laminaria hyperborea,22.11.21,NA,0.061,0.0165,NA,0.270491803
Laminaria hyperborea,22.11.21,NA,0.065,0.0175,NA,0.269230769
Laminaria hyperborea,22.11.21,NA,0.071,0.0181,NA,0.254929577
Laminaria hyperborea,22.11.21,NA,0.071,0.0178,NA,0.250704225
Laminaria hyperborea,22.11.21,NA,0.064,0.0167,NA,0.2609375
Laminaria hyperborea,22.11.21,NA,0.067,0.0183,NA,0.273134328
Laminaria hyperborea,22.11.21,NA,0.055,0.0158,NA,0.287272727
Saccharina latissima,22.11.21,NA,0.045,0.005,NA,0.111111111
Saccharina latissima,22.11.21,NA,0.042,0.0052,NA,0.123809524
Saccharina latissima,22.11.21,NA,0.036,0.0072,NA,0.2
Saccharina latissima,22.11.21,NA,0.048,0.006,NA,0.125
Saccharina latissima,22.11.21,NA,0.057,0.007,NA,0.122807018
Saccharina latissima,22.11.21,NA,0.051,0.0058,NA,0.11372549
Saccharina latissima,22.11.21,NA,0.039,0.0049,NA,0.125641026
Saccharina latissima,22.11.21,NA,0.041,0.0062,NA,0.151219512
Saccharina latissima,22.11.21,NA,0.046,0.0048,NA,0.104347826
Saccharina latissima,22.11.21,NA,0.043,0.005,NA,0.11627907
Saccorhiza polyschides,22.11.21,NA,0.04,0.0046,NA,0.115
Saccorhiza polyschides,22.11.21,NA,0.05,0.0049,NA,0.098
Saccorhiza polyschides,22.11.21,NA,0.041,0.0048,NA,0.117073171
Saccorhiza polyschides,22.11.21,NA,0.044,0.005,NA,0.113636364
Saccorhiza polyschides,22.11.21,NA,0.045,0.005,NA,0.111111111
Saccorhiza polyschides,22.11.21,NA,0.047,0.0051,NA,0.108510638
Saccorhiza polyschides,22.11.21,NA,0.055,0.0058,NA,0.105454545
Saccorhiza polyschides,22.11.21,NA,0.043,0.005,NA,0.11627907
Saccorhiza polyschides,22.11.21,NA,0.037,0.0046,NA,0.124324324
Saccorhiza polyschides,22.11.21,NA,0.034,0.0043,NA,0.126470588
Laminaria digitata,22.11.21,NA,4.627,0.786,NA,0.169872488
Laminaria digitata,22.11.21,NA,4.652,0.799,NA,0.171754084
Laminaria digitata,22.11.21,NA,7.032,1.154,NA,0.16410694
Laminaria digitata,22.11.21,NA,4.58,0.836,NA,0.182532751
Laminaria digitata,22.11.21,NA,4.194,0.759,NA,0.180972818
Laminaria digitata,22.11.21,NA,15.943,2.597,NA,0.162892806
Laminaria digitata,22.11.21,NA,17.251,2.902,NA,0.168222132
Laminaria digitata,22.11.21,NA,7.789,1.424,NA,0.182821928
Laminaria digitata,22.11.21,NA,10.039,1.629,NA,0.162267158
Laminaria digitata,22.11.21,NA,20.422,3.541,NA,0.173391441
Laminaria hyperborea,22.11.21,NA,4.402,1.091,NA,0.24784189
Laminaria hyperborea,22.11.21,NA,26.104,6.183,NA,0.236860251
Laminaria hyperborea,22.11.21,NA,5.439,0.972,NA,0.178709322
Laminaria hyperborea,22.11.21,NA,12.574,3.365,NA,0.267615715
Laminaria hyperborea,22.11.21,NA,14.963,3.651,NA,0.244001871
Laminaria hyperborea,22.11.21,NA,18.062,4.048,NA,0.224116931
Laminaria hyperborea,22.11.21,NA,18.3,4.134,NA,0.225901639
Laminaria hyperborea,22.11.21,NA,18.499,4.416,NA,0.238715606
Laminaria hyperborea,22.11.21,NA,14.398,3.506,NA,0.243506043
Laminaria hyperborea,22.11.21,NA,19.531,4.785,NA,0.244995136
Saccharina latissima,22.11.21,NA,11.231,1.405,NA,0.125100169
Saccharina latissima,22.11.21,NA,6.558,0.859,NA,0.130985056
Saccharina latissima,22.11.21,NA,5.912,0.807,NA,0.13650203
Saccharina latissima,22.11.21,NA,12.577,1.829,NA,0.145424187
Saccharina latissima,22.11.21,NA,10.309,1.347,NA,0.130662528
Saccharina latissima,22.11.21,NA,8.927,1.129,NA,0.126470259
Saccharina latissima,22.11.21,NA,5.019,0.725,NA,0.144451086
Saccharina latissima,22.11.21,NA,12.437,1.532,NA,0.123180831
Saccharina latissima,22.11.21,NA,14.292,1.732,NA,0.121186678
Saccorhiza polyschides,22.11.21,NA,7.512,0.631,NA,0.083998935
Saccorhiza polyschides,22.11.21,NA,6.283,0.615,NA,0.097883177
Saccorhiza polyschides,22.11.21,NA,12.315,1.061,NA,0.086155095
Saccorhiza polyschides,22.11.21,NA,4.019,0.356,NA,0.088579249
Saccorhiza polyschides,22.11.21,NA,7.255,0.682,NA,0.094004135
Saccorhiza polyschides,22.11.21,NA,11.111,0.834,NA,0.075060751
Saccorhiza polyschides,22.11.21,NA,3.219,0.323,NA,0.100341721
Saccorhiza polyschides,22.11.21,NA,7.619,0.672,NA,0.088200551
Saccorhiza polyschides,22.11.21,NA,8.938,0.853,NA,0.09543522
Saccorhiza polyschides,22.11.21,NA,8.489,0.693,NA,0.081635057
